,Username,Ciudad,Departamento,Pais,Título,Pregunta,Propuesta,Descripción,Votos a favor
41,,Bogotá,no hay registro,Colombia,Plantea una forma de que no haya tantos intermediarios en el comercio del campo,¿Crees que la tecnología reducirá a los intermediarios del mercado?,"política pública de agroindustria inclusiva en red, capitalismo-solidario","desarrollando una política publica que promueva la agroindustria inclusiva en red, (ya está prototipos y funciona) en la que los agricultores agremiados en empresas de economía solidaria del tipo cooperativa hagan parte del valor agregado con un innovador modelo de capitalismo solidario, en la que los agricultores cooperados y sus familias, participan de los beneficios que se obtienen del encadenamiento 
productivo y agroindustrial de sus cosechas y producciones, no solo como vendedores 
de materia prima sino como socios, obteniendo el 50% de las ganancias del valor dado en  las unidades empresariales agroindustriales, haciéndolos socios dueño. el modelo sumasach'a tiene prototipo éxitoso.",1000
49,,Medellín,Antioquia,Colombia,¿Cómo disminuirías las emisiones tóxicas generadas por los autos en tu ciudad?,¿Cómo disminuirías las emisiones tóxicas generadas por los autos en tu ciudad?,mejorar los combustibles liquidos con mezclas superiores de biocombustibles,"el establecimiento de una canasta de combustibles líquidos baja en carbono es fundamental para alcanzar los objetivos de reducción de emisiones contaminantes del sector transporte y la consolidación de una movilidad baja en carbono en el país. en este sentido, el incremento de la mezcla de biocombustibles al 20% se convierte en una de las tecnologías limpias con mayor adaptabilidad para la construcción de esta canasta.el ministerio de minas y energía conjuntamente con el ministerio de ambiente y desarrollo sostenible y la dian, harán cumplir los requisitos de  carbono eficiencia tanto de los biocombustibles importados como de aquellos de producción nacional, con el fin de asegurar su impacto",1000
587,Comisión De Jóvenes Ingenieros,Medellín,Antioquia,Colombia,¿Cómo mejorarías el acceso a los servicios sociales del Estado?,"¿Crees que con los servicios sociales del estado, todas tus necesidades básicas están cubiertas?",programa de construcción/mejoramiento vivienda rural en materiales sostenibles,"implementar un programa nacional de construcción, restitución, adecuación y mejoramiento de la vivienda rural en zonas alejadas de los centros urbanos, a partir de materiales y técnicas de construcción sostenibles y asequibles como madera, guadua, tierra (tapia pisada, adobe, bahareque, btc), etc., como solución a largo plazo para el déficit habitacional de calidad, promoviendo la apropiación social y recuperación de las culturas constructivas ancestrales y comunitarias, que redunde a su vez, en el goce de vivienda digna para las comunidades asentadas en zonas de posconflicto y una reducción en la tasa de migración a las ciudades, revitalizando así las dinámicas productivas locales.",1000
750,Edupol,Bogotá,no hay registro,Colombia,Idea una forma de acompañar a jóvenes de región para terminar sus estudios.,Idea una forma de acompañar a jóvenes de región para terminar sus estudios.,"educación superior de calidad para todos, en todos los rincones del país","a través del sistema polimodal (combina educación presencial y a distancia) lograr una mayor cobertura, con programas pertinentes a sus contextos, incluyentes en términos poblacionales, que responden a altos estándares de calidad y  en alianzas con ies como la uam,unab, cecar, escolme, fup y la ibero; aumentar el impacto, que ya se tiene,  de más de 6.000 estudiantes titulados  en  diferentes programas como lic. en pedagogía infantil,lic. en ingles, admon de empresas, contaduría, regencia de farmacia, seguridad y salud en el trabajo, gestión de empresas agroindustriales, psicología e ing. industrial; en 96 centros de apoyo universitarios  - cau- de edupol en mas  80 municipios del país.",480
1445,Laura Ramírez Lombana,Medellín,Antioquia,Colombia,¿Cómo disminuirías las emisiones tóxicas generadas por los autos en tu ciudad?,¿Cómo disminuirías las emisiones tóxicas generadas por los autos en tu ciudad?,transformación de residuos sólidos urbanos en diésel limpio y  aumento de mezcla,"para disminuir de manera sostenible las emisiones, es necesario la producción y aumento de mezcla de energía líquida renovable que sea mínima en emisiones de carbono. si se reemplaza el diésel fósil por diésel sintético, se evidencia una reducción del 94% en las emisiones tóxicas debido el diésel sintético no produce emisiones de material particulado (pm), el cual, es causante de la mala calidad del aire y por consiguiente, de las enfermedades respiratorias. con una mezcla de b20 (80% diésel fósil y 20% diésel sintético) se reduce de manera inmediata el 19% de las emisiones. apoyemos la construcción de biorefinerías productoras de diésel sintético de segunda generación.",450
548,Centro De Terapia Fisica El Buen Samaritano,Bogotá,no hay registro,Colombia,¿Cuál es tu propuesta para mejorar la educación en Colombia?,¿Cuál es tu propuesta para mejorar la educación en Colombia?,"principios, etica y moral","1. primero  volver a los principios , moral y etica 2.  segundo ensenar y educar a los padres de familia de como dirigir a sus hijos cuando entran en la pubertad, para que los jovenes entiendan que la sexualidad es una gran responsabilidad 3 tercero invertir en proyectos, donde invite a los jovenes a desarrollar sus dones y talentos, no solo en su plantel, si no en sus comunas",373
1377,Jucero16,Bogotá,no hay registro,Colombia,¿Cuál es tu propuesta para mejorar la educación en Colombia?,¿Cuál es tu propuesta para mejorar la educación en Colombia?,"todos a aprender 3.0, tres áreas, tres actores un solo objetivo, la educación.","la propuesta que ya esta trazada y pensada para que siga su camino, solo requiere de financiación, deseos y ganas de este gobierno de darle continuidad. el pta 2.0 es la base de la propuesta y pta 3.0 sera la herramienta para que colombia sea en realidad en el año 2025 la mas educada. pta 3.0 deberá ser reforzada con el área de ciencias que tendrá el acompañamiento de los mejores docentes de cada de esta área y apoyados por los tutores de lenguaje y matemáticas que con su experiencia y vocación han logrado los objetivos planteados desde hace seis años. una propuesta con tan significativos valores y componentes no puede ser olvidada después de haber dado tantas satisfacciones",277
29,,Bogotá,Bogota D.C.,Colombia,Plantea una propuesta para mejorar la calidad en el sistema de salud,Plantea una propuesta para mejorar la calidad en el sistema de salud,conócenos!  la nueva cara de la calidad en salud para colombia.,"la calidad en salud permite brindar atención integral y segura a la población. por tal razón, se propone mejorarla a través de 4 estrategias articuladas: 1) fortalecimiento de la formación académica y la motivación del talento humano en salud; 2) mejoramiento de acceso y uso de la información del sector salud con los usuarios mediante el uso de las tics; 3) afianzamiento de la educación en salud desde la primera infancia en alianza con ministerio de educación e instancias del deporte; 4) implementación de nuevos indicadores que evalúen los resultados del mias y de la atención primaria en salud desde el modelo de promoción de la salud y prevención de la enfermedad.",204
109,Afidro,Bogotá,Bogota D.C.,Colombia,Plantea una propuesta para mejorar la calidad en el sistema de salud,Plantea una propuesta para mejorar la calidad en el sistema de salud,"investigación clínica, una oportunidad para los pacientes y el país","existen pacientes y enfermedades que requieren la generación de conocimiento científico y la oportunidad de nuevas opciones terapéuticas, no solamente como tratamiento sino, en muchas ocasiones, como la única opción de vida para un paciente. además, la investigación clínica atrae inversión nacional y extranjera, genera empleos directos e indirectos, reduce costos a los sistemas de salud, impulsa el conocimiento y la transferencia de tecnología, entre otros. por eso debemos promover una legislación para la aprobación e implementación de estudios clínicos, para lo cual el invima ha aprobado en colombia cerca de 120 unidades de investigación clínica y 70 comités de ética en investigación.",202
293,Alfontilla,Bogotá,Bogota D.C.,Colombia,¿De qué manera podemos fortalecer el SENA?,¿De qué manera podemos fortalecer el SENA?,ampliación planta de personal del ideam,"con la ampliación de la planta de personal el ideam cumple con mayor efectividad la misión de generar conocimiento y garantizar el acceso a la información sobre el estado de los recursos naturales y condiciones hidrometeorológicas de todo el país para la toma de decisiones de la población, autoridades, sectores económicos y sociales de colombia y para  el sistema nacional ambiental. además se contribuye a la reducción del riesgo asociado a la ocurrencia de fenómenos hidrometeorológicos extremos. y se garantiza trabajo decente a profesionales y técnicos que actualmente tienen ops con funciones misionales.",200
345,Andrea Arango,Medellín,Antioquia,Colombia,¿Cómo podemos proteger los páramos de Colombia?,¿Cómo podemos proteger los páramos de Colombia?,erradicar la explotación minera,"la minería, sin duda, no es sostenible en los páramos. es una actividad que tiene consecuencias directas sobre la pérdida de suelo y altera la regulación hídrica; se debe evitar al máximo que sigan ocurriendo casos que permiten realizar a las comunidades mineras proyectos de explotación y de hidrocarburos con licencias antiguas ya que estos en ocasiones operan en estos lugares con sus permisos vencidos. 
es demasiado importante regular las actividades lucrativas en los entornos de páramos, el estado en su medida deben garantizar un medio ambiente sano atesorando las áreas de especial calidad ecológica, certificando el mantenimiento, conservación y aprovechamiento de los recursos naturales y",192
866,Fidel Ruiz Caicedo,Medellín,Antioquia,Colombia,"¿Cómo protegemos a los niños de violencia, abuso y explotación?","¿Cómo protegemos a los niños de violencia, abuso y explotación?","titulo 1: pacto por la niñez y la adolescencia, para su  protección integral.","la infancia y la adolescencia, alcanza el 36% de la población total del país;  sus derechos son prevalentes constitucionalmente, están en pleno desarrollo y requieren la mayor atención posible para garantizar sus derechos. un porcentaje muy alto de ellos y ellas se encuentra en pobreza multidimensional y pobreza extrema. un pacto por la infancia y la adolescencia, mejoraria su presente, su futuro y el de sus familias.",158
1670,María Inés Cuadros,Medellín,Antioquia,Colombia,¿Qué estrategia propones para mejorar el programa de Más Familias en Acción?,¿Crees que ha sido exitoso el programa de Familias en Acción?,desinstitucionalización de niños y niñas que han perdido cuidado parental,"se desarrollará un plan de implementación de las directrices de modalidades alternativas de cuidado de niños, con énfasis en la progresiva desinstitucionalización, de aquellos niños y niñas privados de cuidados parentales e institucionalizados.  1) prohibir la institucionalización de bebés de 0 a 3 años, 2) identificar familias en riesgo y fortalecerlas; 3) separar los niños y niñas de sus familias únicamente cuando ésta sea la última opción. 3) fortalecer a las familias  para que recuperen el cuidado, de manera que los niños y niñas no crezcan en las instituciones de protección del estado, 4) acompañar a instituciones para que cambien modelo acogimiento institucional a familiar.",153
867,Fidel Ruiz Caicedo,Medellín,Antioquia,Colombia,¿Cuál sería la mejor estrategia para reintegrar a quienes han dejado las armas?,¿Crees que los reinsertados podrían tener una fácil transición a la vida civil en programas de Economía Naranja?,recursos prioritarios para la infancia y la adolescencia victima del conflicto.,"se destinarán los recursos financieros, humanos y administrativos necesarios para el desarrollo integral y la protección de los niños, niñas y adolescentes víctimas del conflicto armado, especialmente en los temas de educación, salud y reparación, para de esta manera contribuir a la construcción de una paz estable y duradera.",150
1382,Julian Alejandro Ardila Olivares,Bogotá,no hay registro,Colombia,¿Cómo evitarías que los niños falten a clases en sus colegios?,¿Cómo evitarías que los niños falten a clases en sus colegios?,modelo integral de educación rural,"solo 48 de cada 100 niños culminan la educación media en nuestros campos. proponemos transformar la formación en un centro de experiencia, así:
del campo al aula
arquitectura con diseños sencillos y ajustables a las necesidades dentro de nsr10; con mano de obra y materiales de la región. servicios de hospedaje, restaurante, laboratorio y actividades artísticas
pedagogía infantil moderna
se propone un método de enseñanza didáctico y flexible, mediante proyectos escolares que estimulen el sentido de pertenencia
juntos contra la deserción
universidades en lo académico, entidades público-privadas con recursos, guía social y
técnico-productivo, familia y comunidad garantizando la continuidad.",150
639,Daniela Alvarez,Envigado,Antioquia,Colombia,¿Qué incentivos darías para que los desechos sean aprovechados por las empresas?,¿Crees que hay una cultura consolidada de sostenibilidad en las empresas?,transformar residuos orgánicos del sector empresarial para zonas verdes del país,"incentivar la transformación de los residuos orgánicos generados por el sector empresarial a través del compostaje para generar abonos naturales, que serán destinados para los corredores y zonas verdes del país. con el fin de reconocer las buenas prácticas empresariales, mediante incentivos en la reducción de impuestos y reconocimiento en el medio. 
se realizará un control y seguimiento con entidades reguladoras, para lograr un desarrollo sostenible y un impacto ambiental positivo.",145
997,Héctor,Bogotá,no hay registro,Colombia,¿Cómo podemos desarrollar el talento a temprana edad?,¿Cómo podemos desarrollar el talento a temprana edad?,robótica educativa y de competición,"creación de una competencia de robótica libre de ámbito nacional, donde participar con cualquier tipo de software o hardware. estará contextualizada en colombia para que los participantes puedan aportar ideas creativas e innovadoras a los problemas que preocupan a nuestro país.

las acciones principales para llevar a cabo serían:

1. talleres de difusión públicos: la ciudadanía conocerá de la competición y los retos propuestos.
2. capacitación docente: para que los maestros sean los líderes y guías en sus respectivos centros, impulsores y voceros de la iniciativa.
3. creación de contenido y difusión: en donde toda la comunidad (familias y educadores) pueda conocer de la competición.",137
547,Celso Cogollo Rangel,Bogotá,Bogota D.C.,Colombia,¿Cómo erradicarías la pobreza en Colombia?,¿Cómo erradicarías la pobreza en Colombia?," disminuir la pobreza zodes loba (hatillo, san martín, barranco de loba, alto r","construcción de  vías:unir la troncal de las américas por  hatillo de loba ( por el corregimiento de la ribona ) y de este, a  barranco, san martín de loba  y altos del rosario, sur de bolívar, para comunicarnos con todo el país y sacar nuestros productos al mercado nacional. 
proyectos productivos agropecuarios, agro-industriales y medio ambientales. 
infraestructura en : salud, agua potable y saneamiento básico, gas domiciliario, educación.",118
624,Daniel,Bogotá,no hay registro,Colombia,¿Cómo la tecnología ayuda a los campesinos a sacarle provecho a sus cultivos?,Utiliza la tecnología para ayudar a los campesinos a saber cómo sacarle provecho a sus cultivos,la guadua el oro verde de la economía naranja,"nuestra busca promover la silvicultura y aprovechamiento sostenible de los guaduales naturales, el fomento de nuevas plantaciones y el desarrollo e innovación mediante la generación de nuevo conocimiento para la transformar los culmos de guadua en productos con alto valor agregado para el mercado nacional y de exportación.
la guadua es una especie de bambú. es un pasto gigante nativo de las regiones tropicales de américa. 
crece a una tasa de 11 a 21 cm/ día y fija hasta, genera una alta fijación de carbono de hasta  126 toneladas de co2/ha.  se pueden desarrollar productos como pisos, bloques de madera, carbon, papel, textiles, artesanías, muebles etc.",116
1701,Marlon Chagüendo Gómez,Medellín,Antioquia,Colombia,¿Cuál es la mejor alternativa para que los jóvenes persigan sus sueños?,¿Cuál es la mejor alternativa para que los jóvenes persigan sus sueños?,candelaria visión 2036 como política publica de desarrollo territorial,"la mejor alternativa para que los jóvenes sueñen y colombia sea un país donde perseguir los sueños se convierta en una realidad, es apoyar desde el estado los proyectos visionarios planteados por la generación joven, donde en un corto, mediano y largo plazo a través de la adopción de una política pública de desarrollo territorial, se les permita y logren soñar, identificar y participar en la consolidación de una mejor colombia, un mejor departamento o un mejor municipio de los 1102 de nuestro país.",89
